analysis,sr,o,b,db,s,ds,s95obs,s95exp,robscons,rexpcons,source_folder
atlas_2004_14060,SRA-TT,4.0,3.2,0.5,79.76064292003899,6.556284566085885,5.9,5.3,11.69632817485731,13.020440798426064,fpvdm_Mtp1000DMV700
atlas_2211_08028,SR-Gtb-C,4.0,6.0,2.2,64.65707120018781,5.902356544295817,5.0,7.0,10.995441293508534,7.853886638220382,fpvdm_Mtp1000DMV600
atlas_2211_08028,SR-Gtb-M,1.0,1.2,0.6,28.198500000000003,2.819852751363802,3.6,3.7,6.548317079934268,6.3713355372333424,fpvdm_Mtp1100DMV700
atlas_2211_08028,SR-Gbb-C,32.0,33.0,9.0,119.10213034014764,8.011679122411653,18.0,19.0,5.886832032188474,5.576998767336449,fpvdm_Mtp1000DMV700
cms_sus_19_005,7j_3b_loose,8.0,10.9,3.0,51.51246241012716,5.230284132150564,7.2,8.6,5.963166171305588,4.99241818993026,fpvdm_Mtp1000DMV600
cms_1908_04722,A11_6j_1b_600_600,282.0,290.0,13.0,228.4026425999577,11.0145699240196,38.0,43.0,5.535230208541199,4.8915987889433845,fpvdm_Mtp1000DMV700
cms_sus_19_005,3b_loose,16.0,17.6,4.0,59.99683569001241,5.644035593370499,10.3,11.9,4.926273525911145,4.2639174215869575,fpvdm_Mtp1000DMV500
atlas_2010_14293,BDT-GGo3,80.0,85.0,9.0,105.09008230009748,7.525660608042509,22.0,25.0,4.215818131950353,3.709919956116311,fpvdm_Mtp1000DMV700
atlas_1908_03122,SRAH,2.0,3.0,1.5,22.27682472999551,2.506338830449831,4.0,5.0,4.541607262014447,3.633285809611557,fpvdm_Mtp1100DMV700
atlas_2106_09609,SR4,12.0,8.6,1.1,32.86730051002113,4.208230672571872,10.8,7.5,2.4042409450928943,3.462106960933768,fpvdm_Mtp1000DMV600
atlas_1709_04183,SRD-high,11.0,8.5,1.5,23.649547630926552,1.819194820776232,9.9,7.7,2.087481628773084,2.683904951279679,fpvdm_Mtp1000DMV400
cms_sus_19_005,3b_tight,5.0,7.5,2.1,22.160834800311083,1.821610685755492,5.6,7.3,3.4238202277985854,2.62649222954412,fpvdm_Mtp1200DMV700
atlas_2211_08028,SR-Gbb-M,18.0,13.0,4.0,32.9890873900033,3.049849069466446,16.0,13.0,1.7492084322548955,2.15287191662141,fpvdm_Mtp1100DMV200
cms_sus_19_005,2b_loose,33.0,32.0,4.5,37.241490460064185,3.217172402488362,15.0,15.0,2.131021847998885,2.131021847998885,fpvdm_Mtp1100DMV400
atlas_1908_03122,SRC28,3.0,2.4,0.6,13.248601949998768,1.932504614779109,5.2,4.8,1.938325842646352,2.099852996200215,fpvdm_Mtp1100DMV500
atlas_2211_08028,SR-Gtt-1L-M1,0.0,0.56,0.27,5.927703629995125,0.5280817224126773,3.01,2.92,1.681611164531008,1.7334416456295665,fpvdm_Mtp1400DMV700
cms_sus_19_005,2b_tight,12.0,12.0,2.8,19.31316786998655,1.7004347158279498,10.0,10.0,1.6524454936028712,1.6524454936028712,fpvdm_Mtp1200DMV400
atlas_2211_08028,SR-Gtb-B,8.0,2.8,0.9,9.743265775001849,0.6772028818323459,11.3,6.0,0.7639515972386547,1.4387755081327998,fpvdm_Mtp1400DMV600
atlas_2101_01629,6J_btag_2100,7.0,13.6,3.1,9.8855203980083,0.9100356901978298,5.4,9.1,1.554270715941455,0.922314490778446,fpvdm_Mtp1300DMV600
atlas_2101_01629,6J_btag_2800,2.0,2.4,1.0,2.3610944679991293,0.2516931375295912,4.4,5.0,0.4427994823751362,0.3896635444901199,fpvdm_Mtp1500DMV600
atlas_2010_14293,BDT-GGd2,68.0,52.0,6.0,6.035981524997798,0.4023991331918606,34.0,21.0,0.1581190278400925,0.256002235550626,fpvdm_Mtp1500DMV400
atlas_2211_08028,SR-Gtt-0L-B,3.0,0.81,0.32,0.6507759770017537,0.0350365956983163,6.59,3.71,0.0900327708735227,0.1599234393683328,fpvdm_Mtp2000DMV700
atlas_2010_14293,BDT-GGd1,34.0,30.0,5.0,2.366726719599679,0.1462172588792555,19.0,15.0,0.1119437060546157,0.1417953610025133,fpvdm_Mtp1700DMV500
cms_1908_04722,B090_6-7j_1b_850_1700,7.0,6.2,1.5,0.8282485234999576,0.0858853377926135,7.7,7.0,0.0892722817558534,0.0981995099314387,fpvdm_Mtp1700DMV300
atlas_2010_14293,SR-4j-3400,4.0,5.7,1.0,0.3433424440023577,0.0254502189111444,5.1,6.4,0.0591380558800158,0.0471256382793876,fpvdm_Mtp2000DMV500
